DAY,HOUR,MONTH,NumericMachine_ID,NumericSensor_ID,NormalizedReading
1,0,1,1,1,0.47186979215327507
1,0,1,1,2,-0.16421140855306096
1,0,1,1,3,0.6231063695695158
1,0,1,2,1,1.499967864805133
1,0,1,2,2,-0.26026700955483667
1,0,1,2,3,-0.2602505632684638
1,0,1,3,1,1.55624839503064
1,0,1,3,2,0.7430605199549436
1,0,1,3,3,-0.4959966951480938
1,0,1,4,1,0.5177953018019053
1,0,1,4,2,-0.48992948356274324
1,0,1,4,3,-0.4922455596016033
1,0,1,5,1,0.21667549136317554
1,0,1,5,2,-1.942309964762494
1,0,1,5,3,-1.7536204297148001
1,1,1,1,1,-0.5889710240352639
1,1,1,1,2,-1.0402970595969947
1,1,1,1,3,0.28908608751767284
1,1,1,2,1,-0.935307999782188
1,1,1,2,2,-1.4404633916963407
1,1,1,2,3,1.442487125441739
1,1,1,3,1,-0.2518753871244168
1,1,1,3,2,0.04193849048843036
1,1,1,3,3,-1.452929488508503
1,1,1,4,1,-0.5710351246247924
1,1,1,4,2,0.08540823713394463
1,1,1,4,3,-1.1786994589510809
1,1,1,5,1,0.35064349268454403
1,1,1,5,2,-0.6273887879322243
1,1,1,5,3,-0.3179073131312874
1,2,1,1,1,-0.6284585648689188
1,2,1,1,2,1.8297879878180268
1,2,1,1,3,-0.03922765317750876
1,2,1,2,1,-1.085254809529118
1,2,1,2,2,0.7982664109757573
1,2,1,2,3,-1.2486708378593965
1,2,1,3,1,0.18351933340188442
1,2,1,3,2,-1.9887804077858418
1,2,1,3,3,-1.3561996548558064
1,2,1,4,1,0.1714961301577184
1,2,1,4,2,0.7140420627506482
1,2,1,4,3,0.14595890268950984
1,2,1,5,1,-0.1415561132624904
1,2,1,5,2,-0.3273336008755172
1,2,1,5,3,-1.5067966798872185
1,3,1,1,1,-0.7468013267727801
1,3,1,1,2,-0.48714573564645597
1,3,1,1,3,1.0332511079184568
1,3,1,2,1,0.31850805208094934
1,3,1,2,2,-1.7918089583683816
1,3,1,2,3,0.2989398072858614
1,3,1,3,1,-0.41145802859200203
1,3,1,3,2,-0.7038045770748511
1,3,1,3,3,0.5870315790023004
1,3,1,4,1,1.0070830377416606
1,3,1,4,2,0.9071904549024797
1,3,1,4,3,-0.8663819533718544
1,3,1,5,1,-0.33545636321993383
1,3,1,5,2,0.306131737633866
1,3,1,5,3,0.9515323365149626
1,4,1,1,1,-0.5057133924772113
1,4,1,1,2,-0.21168839284421703
1,4,1,1,3,-1.1339632983840784
